win,lose,probability
Cleveland Cavaliers,New York Knicks,0.9161473242530701
Golden State Warriors,San Antonio Spurs,0.7060902050906278
Portland Trail Blazers,Utah Jazz,0.6198510517396908
Boston Celtics,Brooklyn Nets,0.9482100697630461
Indiana Pacers,Dallas Mavericks,0.5898223670053265
Houston Rockets,Los Angeles Lakers,0.942413427036435
Memphis Grizzlies,Minnesota Timberwolves,0.7496790036846265
Charlotte Hornets,Milwaukee Bucks,0.7618154843114807
Denver Nuggets,New Orleans Pelicans,0.5237161022434416
Miami Heat,Orlando Magic,0.7250042540998134
Oklahoma City Thunder,Philadelphia 76ers,0.9935767967959154
Sacramento Kings,Phoenix Suns,0.7634545901500571
Toronto Raptors,Detroit Pistons,0.7746046384392391
Atlanta Hawks,Washington Wizards,0.6530622176625999
Chicago Bulls,Boston Celtics,0.5536333640461976
Los Angeles Clippers,Portland Trail Blazers,0.5584847350127518
San Antonio Spurs,Sacramento Kings,0.8148476060158076
Indiana Pacers,Brooklyn Nets,0.9107157322855649
Dallas Mavericks,Houston Rockets,0.5427607430430199
Detroit Pistons,Orlando Magic,0.6895106649728795
Miami Heat,Charlotte Hornets,0.6239663270259357
Golden State Warriors,New Orleans Pelicans,0.9065919076540043
Oklahoma City Thunder,Phoenix Suns,0.9383398013438221
Cleveland Cavaliers,Toronto Raptors,0.5137060929345656
Utah Jazz,Los Angeles Lakers,0.9044458752586422
Chicago Bulls,Indiana Pacers,0.6636448333878154
Charlotte Hornets,Boston Celtics,0.5397089014815551
Cleveland Cavaliers,Orlando Magic,0.8955881592240179
Portland Trail Blazers,Denver Nuggets,0.6872594239850123
Milwaukee Bucks,Brooklyn Nets,0.7704812270158139
Memphis Grizzlies,New York Knicks,0.652450699271772
Atlanta Hawks,Philadelphia 76ers,0.9894625591168847
Sacramento Kings,Minnesota Timberwolves,0.6651937147346263
San Antonio Spurs,New Orleans Pelicans,0.9153824142976554
Detroit Pistons,Milwaukee Bucks,0.7869024775899435
Dallas Mavericks,Houston Rockets,0.5050572808183554
Los Angeles Clippers,Utah Jazz,0.7348055276018302
Washington Wizards,Memphis Grizzlies,0.5286897296509463
San Antonio Spurs,Miami Heat,0.5386786940675519
Oklahoma City Thunder,Los Angeles Lakers,0.9708640296172074
Golden State Warriors,Phoenix Suns,0.957036537375698
Atlanta Hawks,Sacramento Kings,0.7744546920075485
Chicago Bulls,Brooklyn Nets,0.9493025658453043
Los Angeles Clippers,Phoenix Suns,0.9196848222085547
Toronto Raptors,Denver Nuggets,0.8867210895342834
Cleveland Cavaliers,Houston Rockets,0.8641153423314712
Detroit Pistons,New York Knicks,0.7388135023722843
Indiana Pacers,Los Angeles Lakers,0.9352657417178126
Miami Heat,Sacramento Kings,0.8026038386145908
Memphis Grizzlies,Minnesota Timberwolves,0.6816298657075746
New Orleans Pelicans,Milwaukee Bucks,0.5140982925755111
Orlando Magic,Philadelphia 76ers,0.9783406804654353
Golden State Warriors,Portland Trail Blazers,0.7253644460502231
San Antonio Spurs,Utah Jazz,0.8271527028591115
Atlanta Hawks,Los Angeles Lakers,0.9509524913391957
Boston Celtics,Chicago Bulls,0.5497698584897734
Detroit Pistons,Brooklyn Nets,0.906941632342215
Charlotte Hornets,Philadelphia 76ers,0.9857285168751309
Los Angeles Clippers,Oklahoma City Thunder,0.5370881533588309
Memphis Grizzlies,New Orleans Pelicans,0.6963998168426252
Houston Rockets,New York Knicks,0.6769246219679199
Portland Trail Blazers,Phoenix Suns,0.8798321087265523
Dallas Mavericks,Utah Jazz,0.514915428787827
Toronto Raptors,Washington Wizards,0.6557280422630591
Cleveland Cavaliers,Boston Celtics,0.7637523684822142
Golden State Warriors,Oklahoma City Thunder,0.7487569331135608
Indiana Pacers,Milwaukee Bucks,0.7087172573150957
Denver Nuggets,Minnesota Timberwolves,0.5534701527421845
Orlando Magic,Sacramento Kings,0.5490687811876475
Charlotte Hornets,Brooklyn Nets,0.9305973735062956
Chicago Bulls,New York Knicks,0.8073861611220398
Portland Trail Blazers,Dallas Mavericks,0.5590360721783588
Golden State Warriors,Los Angeles Lakers,0.9868294979432486
Los Angeles Clippers,Memphis Grizzlies,0.670254747928085
New Orleans Pelicans,Phoenix Suns,0.647110213644952
Toronto Raptors,Miami Heat,0.6559609239999703
San Antonio Spurs,Utah Jazz,0.7390583488269024
Atlanta Hawks,Washington Wizards,0.5018568860421501
Atlanta Hawks,Houston Rockets,0.6949200728854836
Detroit Pistons,Denver Nuggets,0.7604249406244373
Chicago Bulls,Indiana Pacers,0.5721620088196395
Sacramento Kings,Milwaukee Bucks,0.5662157453085548
Oklahoma City Thunder,Minnesota Timberwolves,0.9157420122020925
Washington Wizards,Orlando Magic,0.599696877417243
Cleveland Cavaliers,Philadelphia 76ers,0.9961879152326505
San Antonio Spurs,Los Angeles Clippers,0.6988126194821899
Boston Celtics,Denver Nuggets,0.8423638745916935
Dallas Mavericks,Milwaukee Bucks,0.7269536877662522
Phoenix Suns,Los Angeles Lakers,0.808058275898012
Portland Trail Blazers,Memphis Grizzlies,0.5824652498867553
Utah Jazz,New York Knicks,0.6901652467734127
Toronto Raptors,Sacramento Kings,0.8595644048871497
Chicago Bulls,Orlando Magic,0.7669442662385377
Charlotte Hornets,Indiana Pacers,0.6509887673124035
Golden State Warriors,New Orleans Pelicans,0.9414824728584108
Los Angeles Clippers,Detroit Pistons,0.7137352838623794
Oklahoma City Thunder,Miami Heat,0.6476774030940502
Utah Jazz,Philadelphia 76ers,0.984796023965966
Washington Wizards,Houston Rockets,0.604712494410771
Minnesota Timberwolves,Brooklyn Nets,0.7481926441515575
Cleveland Cavaliers,Atlanta Hawks,0.8049198947212952
Dallas Mavericks,Los Angeles Lakers,0.9507813732908932
Memphis Grizzlies,Denver Nuggets,0.6752937277497487
Portland Trail Blazers,Phoenix Suns,0.8707769653127861
Sacramento Kings,New Orleans Pelicans,0.603444350683428
Atlanta Hawks,Chicago Bulls,0.5008642436591629
Charlotte Hornets,Utah Jazz,0.6844913442619347
Golden State Warriors,Dallas Mavericks,0.8650485708714122
Indiana Pacers,Philadelphia 76ers,0.9807063777320434
Los Angeles Clippers,Portland Trail Blazers,0.6618719459972031
New York Knicks,Brooklyn Nets,0.7591818292773858
Oklahoma City Thunder,Toronto Raptors,0.5732949402220238
Orlando Magic,Minnesota Timberwolves,0.6915944083061596
Detroit Pistons,Phoenix Suns,0.8518131838818305
San Antonio Spurs,Houston Rockets,0.8357305918983616
Boston Celtics,Washington Wizards,0.5625203202810319
Golden State Warriors,Denver Nuggets,0.8698901788090247
Miami Heat,Chicago Bulls,0.5430103010492049
Milwaukee Bucks,New Orleans Pelicans,0.5193798797147674
Sacramento Kings,Los Angeles Lakers,0.8589853164117346
Boston Celtics,New York Knicks,0.8264570575337555
Toronto Raptors,Charlotte Hornets,0.5581719778518472
Oklahoma City Thunder,Los Angeles Clippers,0.6409783056613454
Utah Jazz,Orlando Magic,0.5682522351816091
Indiana Pacers,Philadelphia 76ers,0.9869002931849609
Portland Trail Blazers,Sacramento Kings,0.7232316745088104
San Antonio Spurs,Detroit Pistons,0.8115378005521232
Cleveland Cavaliers,Washington Wizards,0.7371019797007505
Atlanta Hawks,Philadelphia 76ers,0.9855518175378324
Chicago Bulls,Washington Wizards,0.6684543663928053
Detroit Pistons,Denver Nuggets,0.6330653909129457
San Antonio Spurs,Houston Rockets,0.7313790221896479
Boston Celtics,Indiana Pacers,0.5367954330819984
Miami Heat,Utah Jazz,0.7172813248458147
Memphis Grizzlies,Milwaukee Bucks,0.6380701289394077
Los Angeles Clippers,Minnesota Timberwolves,0.839736094213751
New Orleans Pelicans,Los Angeles Lakers,0.8006082481992384
Phoenix Suns,Brooklyn Nets,0.5758462996921346
Toronto Raptors,New York Knicks,0.8746240879011161
Cleveland Cavaliers,Charlotte Hornets,0.7964226605403901
Golden State Warriors,Phoenix Suns,0.967119438484125
Minnesota Timberwolves,Los Angeles Lakers,0.7807999733252103
Oklahoma City Thunder,Orlando Magic,0.8407740892394998
Portland Trail Blazers,Denver Nuggets,0.7696878586532269
Oklahoma City Thunder,Detroit Pistons,0.606623146152443
Houston Rockets,Philadelphia 76ers,0.9719424163226883
Indiana Pacers,Orlando Magic,0.6960009003731763
Los Angeles Clippers,Brooklyn Nets,0.9511182164255199
Boston Celtics,New Orleans Pelicans,0.8065720570597099
Dallas Mavericks,New York Knicks,0.7120849272795373
San Antonio Spurs,Miami Heat,0.7049293482082474
Utah Jazz,Memphis Grizzlies,0.5537967459123176
Cleveland Cavaliers,Toronto Raptors,0.6857761984155056
Brooklyn Nets,Los Angeles Lakers,0.7124434952164611
Miami Heat,Atlanta Hawks,0.6363752913818941
Charlotte Hornets,Minnesota Timberwolves,0.7952608006866868
Chicago Bulls,Portland Trail Blazers,0.5670026328293477
Atlanta Hawks,Milwaukee Bucks,0.8363041975093325
Boston Celtics,Dallas Mavericks,0.7013321602256082
Denver Nuggets,Phoenix Suns,0.7269270526487204
Cleveland Cavaliers,Indiana Pacers,0.7164685589674087
Los Angeles Clippers,Memphis Grizzlies,0.7667777915074081
Detroit Pistons,New York Knicks,0.7122709683543117
Oklahoma City Thunder,Houston Rockets,0.796532435384558
Orlando Magic,New Orleans Pelicans,0.6320206282237335
Washington Wizards,Philadelphia 76ers,0.9866177828150837
San Antonio Spurs,Sacramento Kings,0.8148476060158076
Golden State Warriors,Toronto Raptors,0.5299892864776243
Portland Trail Blazers,Houston Rockets,0.5653945444671995
Miami Heat,Milwaukee Bucks,0.8581480877628337
Minnesota Timberwolves,Philadelphia 76ers,0.9261015945908085
Chicago Bulls,Utah Jazz,0.6711935152721925
Washington Wizards,New York Knicks,0.7243925191977195
Golden State Warriors,Boston Celtics,0.6228954173747818
Charlotte Hornets,Atlanta Hawks,0.5994419003222737
Cleveland Cavaliers,Detroit Pistons,0.8433191922654591
Dallas Mavericks,Memphis Grizzlies,0.5698666278900446
Toronto Raptors,Denver Nuggets,0.809702624662462
Indiana Pacers,Phoenix Suns,0.8683903211836838
San Antonio Spurs,Los Angeles Lakers,0.9809678985070471
Portland Trail Blazers,New Orleans Pelicans,0.7613443714418535
Oklahoma City Thunder,Brooklyn Nets,0.9627676697685748
Los Angeles Clippers,Sacramento Kings,0.7539353511115172
Boston Celtics,Detroit Pistons,0.5443684643709141
Houston Rockets,Utah Jazz,0.5210899455415743
Los Angeles Clippers,Chicago Bulls,0.5647823282271591
Memphis Grizzlies,Minnesota Timberwolves,0.7496790036846265
Golden State Warriors,Milwaukee Bucks,0.9000882890181909
Charlotte Hornets,New Orleans Pelicans,0.7750705409406675
Dallas Mavericks,Orlando Magic,0.5937195859945095
Phoenix Suns,Philadelphia 76ers,0.9400232495263808
Miami Heat,Washington Wizards,0.5819481693970299
Portland Trail Blazers,Brooklyn Nets,0.9254492330936511
Utah Jazz,Denver Nuggets,0.6082215683961064
Chicago Bulls,Los Angeles Lakers,0.9737865804713249
Atlanta Hawks,New York Knicks,0.7635499575340663
Oklahoma City Thunder,Indiana Pacers,0.7599566662740909
Toronto Raptors,Sacramento Kings,0.8028206867361708
Charlotte Hornets,Memphis Grizzlies,0.7202199285646339
Detroit Pistons,Houston Rockets,0.6221290641396984
Golden State Warriors,Indiana Pacers,0.7295369519473792
Los Angeles Clippers,Toronto Raptors,0.502726516852329
Orlando Magic,Milwaukee Bucks,0.5932953766087299
Boston Celtics,Minnesota Timberwolves,0.8245746551643842
Miami Heat,Philadelphia 76ers,0.9923515589884193
San Antonio Spurs,Dallas Mavericks,0.8116765740267704
Washington Wizards,Phoenix Suns,0.8560486756087539
Atlanta Hawks,New Orleans Pelicans,0.8288678048956241
Chicago Bulls,Denver Nuggets,0.7682384539324957
Oklahoma City Thunder,Los Angeles Lakers,0.9764980460296744
Portland Trail Blazers,New York Knicks,0.7592161719142811
Boston Celtics,Brooklyn Nets,0.9419486599804959
San Antonio Spurs,Charlotte Hornets,0.5772636569314542
Cleveland Cavaliers,Portland Trail Blazers,0.8086384136936696
Los Angeles Clippers,Dallas Mavericks,0.6487813153452546
Miami Heat,Detroit Pistons,0.5639775864339727
Golden State Warriors,Los Angeles Lakers,0.9847104759631586
Toronto Raptors,Houston Rockets,0.7158211232792602
Indiana Pacers,Atlanta Hawks,0.5241115659953378
New Orleans Pelicans,Minnesota Timberwolves,0.5670287404057348
Orlando Magic,Phoenix Suns,0.7584510455281583
Memphis Grizzlies,Philadelphia 76ers,0.982010516121952
Oklahoma City Thunder,Sacramento Kings,0.7801084410299008
Utah Jazz,Denver Nuggets,0.6819165934956105
San Antonio Spurs,Boston Celtics,0.5318944016251903
Cleveland Cavaliers,Dallas Mavericks,0.8434390783333175
Oklahoma City Thunder,Denver Nuggets,0.787573331058474
Los Angeles Clippers,Detroit Pistons,0.5711521834562416
Indiana Pacers,Brooklyn Nets,0.9181116203699617
Golden State Warriors,Los Angeles Lakers,0.9868294979432486
Miami Heat,Memphis Grizzlies,0.6637620761076428
Toronto Raptors,Milwaukee Bucks,0.8514851263186893
Charlotte Hornets,New York Knicks,0.7730282532646175
Washington Wizards,Orlando Magic,0.599696877417243
Chicago Bulls,Philadelphia 76ers,0.9928212540103537
Minnesota Timberwolves,Phoenix Suns,0.636692784050205
Portland Trail Blazers,New Orleans Pelicans,0.7865972389587345
Houston Rockets,Sacramento Kings,0.5828694206402971
Atlanta Hawks,Utah Jazz,0.5808806023310421
Charlotte Hornets,New York Knicks,0.7984964507348409
Golden State Warriors,Minnesota Timberwolves,0.9545582836306877
Miami Heat,Memphis Grizzlies,0.750649390317515
Oklahoma City Thunder,Detroit Pistons,0.7681681392395986
San Antonio Spurs,Washington Wizards,0.673073296193573
Sacramento Kings,Brooklyn Nets,0.8454917808012029
Dallas Mavericks,New Orleans Pelicans,0.7162352496967308
Los Angeles Clippers,Indiana Pacers,0.5636675012932321
Atlanta Hawks,Los Angeles Lakers,0.9618642796148632
Orlando Magic,Milwaukee Bucks,0.6443404719135354
Cleveland Cavaliers,Philadelphia 76ers,0.9961879152326505
Denver Nuggets,Phoenix Suns,0.7162046845239973
Portland Trail Blazers,Houston Rockets,0.6341666237572091
Golden State Warriors,Atlanta Hawks,0.8307793504954213
Charlotte Hornets,Memphis Grizzlies,0.6010890317104296
Miami Heat,Boston Celtics,0.5782751564914878
Utah Jazz,Minnesota Timberwolves,0.7175487752818388
Oklahoma City Thunder,New York Knicks,0.8417635626093483
Toronto Raptors,Philadelphia 76ers,0.9918428655118351
Washington Wizards,Sacramento Kings,0.6975281860071054
Los Angeles Clippers,Brooklyn Nets,0.947610366020327
Charlotte Hornets,Detroit Pistons,0.6612663494189372
Cleveland Cavaliers,Milwaukee Bucks,0.8940640507610028
New Orleans Pelicans,Los Angeles Lakers,0.8006082481992384
San Antonio Spurs,Orlando Magic,0.8728100410374073
Utah Jazz,Houston Rockets,0.5265195778538743
Boston Celtics,Detroit Pistons,0.7011420139535982
Chicago Bulls,Los Angeles Lakers,0.9540582501974338
San Antonio Spurs,Dallas Mavericks,0.7262732929838872
Miami Heat,Denver Nuggets,0.7566759177211809
New York Knicks,Minnesota Timberwolves,0.5817353858542367
Oklahoma City Thunder,Washington Wizards,0.7638790246937851
Atlanta Hawks,Phoenix Suns,0.8823314343641987
Portland Trail Blazers,Indiana Pacers,0.5836595323324385
Toronto Raptors,Memphis Grizzlies,0.8192251941107791
Milwaukee Bucks,Brooklyn Nets,0.786226298043712
Charlotte Hornets,Dallas Mavericks,0.6614696166814569
Cleveland Cavaliers,Los Angeles Clippers,0.7435974938795329
Golden State Warriors,Houston Rockets,0.8832659527118008
Memphis Grizzlies,Orlando Magic,0.5926783622279811
Miami Heat,Utah Jazz,0.6569513700068998
Atlanta Hawks,Detroit Pistons,0.6584642927079752
Boston Celtics,Sacramento Kings,0.8068891611151804
Cleveland Cavaliers,Chicago Bulls,0.6374240240090423
Houston Rockets,Denver Nuggets,0.5935414481205952
Los Angeles Clippers,New Orleans Pelicans,0.8229553328375303
New York Knicks,Minnesota Timberwolves,0.5698932910161719
Orlando Magic,Philadelphia 76ers,0.9783406804654353
San Antonio Spurs,Washington Wizards,0.8078503592442975
Toronto Raptors,Los Angeles Lakers,0.9718789644890518
Charlotte Hornets,Minnesota Timberwolves,0.8649232494664103
Chicago Bulls,Dallas Mavericks,0.6566282274385302
Golden State Warriors,Phoenix Suns,0.967119438484125
Memphis Grizzlies,Los Angeles Lakers,0.9017890278793774
Milwaukee Bucks,Brooklyn Nets,0.7704812270158139
Boston Celtics,Philadelphia 76ers,0.991724915511907
Miami Heat,Portland Trail Blazers,0.5512647152862002
Toronto Raptors,Atlanta Hawks,0.7248591803808744
Utah Jazz,Denver Nuggets,0.6819165934956105
Detroit Pistons,Orlando Magic,0.6895106649728795
Los Angeles Clippers,Indiana Pacers,0.7043378779999403
Sacramento Kings,New York Knicks,0.5815791181485657
Oklahoma City Thunder,New Orleans Pelicans,0.8927517742491977
Oklahoma City Thunder,Atlanta Hawks,0.5271012921876743
Washington Wizards,Brooklyn Nets,0.9089418087318712
Chicago Bulls,Portland Trail Blazers,0.6184999273968986
Charlotte Hornets,Dallas Mavericks,0.5779476611628807
Golden State Warriors,Indiana Pacers,0.8595320546823733
Boston Celtics,Houston Rockets,0.6296951450934467
Utah Jazz,Los Angeles Lakers,0.9456471430724475
San Antonio Spurs,Milwaukee Bucks,0.8610574802190253
Memphis Grizzlies,New Orleans Pelicans,0.6550938615966417
Denver Nuggets,Philadelphia 76ers,0.9693277394610126
Cleveland Cavaliers,Toronto Raptors,0.5137060929345656
Chicago Bulls,Detroit Pistons,0.5796096529459058
Memphis Grizzlies,Philadelphia 76ers,0.9699744494238389
Miami Heat,New York Knicks,0.822510449377936
San Antonio Spurs,Minnesota Timberwolves,0.8827129125286342
Utah Jazz,Phoenix Suns,0.8121269506005673
Washington Wizards,Orlando Magic,0.6735702445155392
Atlanta Hawks,Miami Heat,0.5168204764732769
Denver Nuggets,Brooklyn Nets,0.810562676245788
Charlotte Hornets,Detroit Pistons,0.6612663494189372
Dallas Mavericks,Sacramento Kings,0.6414991596635604
Houston Rockets,Los Angeles Lakers,0.9078012784735549
Golden State Warriors,Los Angeles Clippers,0.608497965403535
Portland Trail Blazers,Milwaukee Bucks,0.7475439026932318
Cleveland Cavaliers,New York Knicks,0.8998693795039874
Boston Celtics,Orlando Magic,0.7088990313653245
Indiana Pacers,Phoenix Suns,0.8574717253494712
San Antonio Spurs,Chicago Bulls,0.5634951482502517
Portland Trail Blazers,Memphis Grizzlies,0.5824652498867553
New Orleans Pelicans,Philadelphia 76ers,0.9338912340575205
Toronto Raptors,Minnesota Timberwolves,0.9185159344481421
Golden State Warriors,Utah Jazz,0.8045824759800952
Washington Wizards,Denver Nuggets,0.7467882412279747
Toronto Raptors,Boston Celtics,0.5124841664655496
Charlotte Hornets,Orlando Magic,0.7567503848012392
Cleveland Cavaliers,Miami Heat,0.7491312117646014
Indiana Pacers,Dallas Mavericks,0.5102129510093711
Phoenix Suns,Los Angeles Lakers,0.808058275898012
Atlanta Hawks,Milwaukee Bucks,0.752019153901506
Detroit Pistons,Minnesota Timberwolves,0.7384411930006418
Oklahoma City Thunder,Houston Rockets,0.796532435384558
Sacramento Kings,New York Knicks,0.5514799455412213
Chicago Bulls,Miami Heat,0.5339434698729273
Cleveland Cavaliers,Charlotte Hornets,0.7964226605403901
Dallas Mavericks,Houston Rockets,0.5050572808183554
Indiana Pacers,Portland Trail Blazers,0.5300576481750185
Los Angeles Clippers,New Orleans Pelicans,0.8623279767838002
Golden State Warriors,Memphis Grizzlies,0.8093129428726663
Orlando Magic,Denver Nuggets,0.6089521132716997
San Antonio Spurs,Brooklyn Nets,0.9711023584529958
Utah Jazz,Sacramento Kings,0.6263507538395723
Washington Wizards,Milwaukee Bucks,0.7743256177871711
Detroit Pistons,Philadelphia 76ers,0.9801208593051749
New York Knicks,Los Angeles Lakers,0.9049897363576389
Golden State Warriors,Minnesota Timberwolves,0.916252093325574
Oklahoma City Thunder,Boston Celtics,0.6655718370607641
New Orleans Pelicans,Phoenix Suns,0.6958741431314802
Dallas Mavericks,Denver Nuggets,0.6959059682366577
Houston Rockets,Brooklyn Nets,0.8842698372161307
Indiana Pacers,Charlotte Hornets,0.5108164830800703
Los Angeles Clippers,Portland Trail Blazers,0.6618719459972031
Miami Heat,Washington Wizards,0.690303250762435
Sacramento Kings,Los Angeles Lakers,0.8589853164117346
Toronto Raptors,Milwaukee Bucks,0.9010567019393582
Atlanta Hawks,Orlando Magic,0.7544448800227636
Chicago Bulls,Minnesota Timberwolves,0.8713545546916475
Cleveland Cavaliers,Memphis Grizzlies,0.876505357943506
Golden State Warriors,New Orleans Pelicans,0.9065919076540043
New York Knicks,Phoenix Suns,0.7390260467205821
Oklahoma City Thunder,Portland Trail Blazers,0.5942591373429048
Brooklyn Nets,Los Angeles Lakers,0.5078407224463316
Dallas Mavericks,Detroit Pistons,0.501174206214002
Houston Rockets,Sacramento Kings,0.635536385309768
Cleveland Cavaliers,Memphis Grizzlies,0.7990373846068612
Miami Heat,Indiana Pacers,0.6856616223729648
Los Angeles Clippers,Orlando Magic,0.730793977177211
Toronto Raptors,Philadelphia 76ers,0.994398557011823
San Antonio Spurs,Boston Celtics,0.7211678096792122
Oklahoma City Thunder,Utah Jazz,0.6954145783361139
Charlotte Hornets,Washington Wizards,0.5151643539556459
Portland Trail Blazers,Denver Nuggets,0.6872594239850123
Golden State Warriors,New York Knicks,0.9285710765401661
Chicago Bulls,Milwaukee Bucks,0.8170681756501041
Indiana Pacers,New Orleans Pelicans,0.7238561409481002
San Antonio Spurs,Phoenix Suns,0.9387385658788218
Boston Celtics,Charlotte Hornets,0.6303436000592176
Chicago Bulls,Milwaukee Bucks,0.8454901027291303
Houston Rockets,New Orleans Pelicans,0.7109554359522166
Memphis Grizzlies,Sacramento Kings,0.61921698240101
Miami Heat,Los Angeles Clippers,0.5515870379804393
Orlando Magic,Brooklyn Nets,0.8421572196759377
Los Angeles Lakers,Philadelphia 76ers,0.8774185252558419
Toronto Raptors,Atlanta Hawks,0.7248591803808744
Dallas Mavericks,Utah Jazz,0.514915428787827
Washington Wizards,Detroit Pistons,0.5642367373374049
Atlanta Hawks,Charlotte Hornets,0.5835605749328018
Cleveland Cavaliers,Los Angeles Lakers,0.9818603958348706
Denver Nuggets,New York Knicks,0.5405584053333646
Detroit Pistons,Indiana Pacers,0.5710840885279781
Golden State Warriors,Portland Trail Blazers,0.8341065399899813
Houston Rockets,Minnesota Timberwolves,0.704978142128672
Oklahoma City Thunder,Phoenix Suns,0.9383398013438221
Dallas Mavericks,Sacramento Kings,0.6414991596635604
Memphis Grizzlies,Utah Jazz,0.5036482573366421
Miami Heat,Boston Celtics,0.5782751564914878
Toronto Raptors,Orlando Magic,0.7829532367120368
Brooklyn Nets,Philadelphia 76ers,0.9021889538466267
